parameter,23july.bag,23july1.bag,23july2.bag,23july3.bag,23july4.bag,evidence/confidence
global_costmap.obstacle_layer.scan.max_obstacle_height,1.85 [STRONGLY_INFERRED],1.85 [STRONGLY_INFERRED],1.85 [STRONGLY_INFERRED],1.85 [STRONGLY_INFERRED],1.85 [STRONGLY_INFERRED],Unchanged across the pre-test git baseline and matching installed Nav2 YAML; not emitted as a static ParameterEvent.
planner_server.GridBased.tolerance,0.5 [STRONGLY_INFERRED],0.5 [STRONGLY_INFERRED],0.5 [STRONGLY_INFERRED],0.5 [STRONGLY_INFERRED],0.5 [STRONGLY_INFERRED],Unchanged across the pre-test git baseline and matching installed Nav2 YAML; not emitted as a static ParameterEvent.
planner_server.GridBased.allow_unknown,false [STRONGLY_INFERRED],false [STRONGLY_INFERRED],false [STRONGLY_INFERRED],false [STRONGLY_INFERRED],false [STRONGLY_INFERRED],Unchanged across the pre-test git baseline and matching installed Nav2 YAML; not emitted as a static ParameterEvent.
controller_server.FollowPath.lookahead_dist,1.0 [STRONGLY_INFERRED],1.0 [STRONGLY_INFERRED],1.0 [STRONGLY_INFERRED],1.0 [STRONGLY_INFERRED],1.0 [STRONGLY_INFERRED],Unchanged across the pre-test git baseline and matching installed Nav2 YAML; not emitted as a static ParameterEvent.
controller_server.FollowPath.min_lookahead_dist,0.8 [STRONGLY_INFERRED],0.8 [STRONGLY_INFERRED],0.8 [STRONGLY_INFERRED],0.8 [STRONGLY_INFERRED],0.8 [STRONGLY_INFERRED],Unchanged across the pre-test git baseline and matching installed Nav2 YAML; not emitted as a static ParameterEvent.
controller_server.FollowPath.max_lookahead_dist,1.2 [STRONGLY_INFERRED],1.2 [STRONGLY_INFERRED],1.2 [STRONGLY_INFERRED],1.2 [STRONGLY_INFERRED],1.2 [STRONGLY_INFERRED],Unchanged across the pre-test git baseline and matching installed Nav2 YAML; not emitted as a static ParameterEvent.
local_costmap.footprint,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No matching static ParameterEvent or explicit startup log. Published geometry is reported separately and current YAML is not silently substituted.
global_costmap.footprint,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No matching static ParameterEvent or explicit startup log. Published geometry is reported separately and current YAML is not silently substituted.
local_costmap.footprint_padding,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No matching static ParameterEvent or explicit startup log. Published geometry is reported separately and current YAML is not silently substituted.
global_costmap.footprint_padding,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No matching static ParameterEvent or explicit startup log. Published geometry is reported separately and current YAML is not silently substituted.
local_costmap.obstacle_layer.scan.raytrace_min_range,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No matching static ParameterEvent or explicit startup log. Published geometry is reported separately and current YAML is not silently substituted.
controller_server.desired_linear_vel,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No matching static ParameterEvent or explicit startup log. Published geometry is reported separately and current YAML is not silently substituted.
controller_server.goal_checker.xy_goal_tolerance,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No matching static ParameterEvent or explicit startup log. Published geometry is reported separately and current YAML is not silently substituted.
controller_server.goal_checker.yaw_goal_tolerance,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No matching static ParameterEvent or explicit startup log. Published geometry is reported separately and current YAML is not silently substituted.
controller_server.progress_checker.movement_time_allowance,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No matching static ParameterEvent or explicit startup log. Published geometry is reported separately and current YAML is not silently substituted.
controller_server.progress_checker.required_movement_radius,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No matching static ParameterEvent or explicit startup log. Published geometry is reported separately and current YAML is not silently substituted.
target_explorer.map_occupied_threshold,65 [CONFIRMED_IN_BAG],65 [CONFIRMED_IN_BAG],65 [CONFIRMED_IN_BAG],65 [CONFIRMED_IN_BAG],65 [CONFIRMED_IN_BAG],Decoded `/target_explorer_node` ParameterEvent during the recording.
target_explorer.costmap_lethal_threshold,100 [CONFIRMED_IN_BAG],100 [CONFIRMED_IN_BAG],100 [CONFIRMED_IN_BAG],100 [CONFIRMED_IN_BAG],100 [CONFIRMED_IN_BAG],Decoded `/target_explorer_node` ParameterEvent during the recording.
target_explorer.active_goal_safety_check_period_sec,0.5 [CONFIRMED_IN_BAG],0.5 [CONFIRMED_IN_BAG],0.5 [CONFIRMED_IN_BAG],0.5 [CONFIRMED_IN_BAG],0.5 [CONFIRMED_IN_BAG],Decoded `/target_explorer_node` ParameterEvent during the recording.
